sent_index;sent_text;def
t_0;Лингви́стика (от лат. lingua «язык»), языкозна́ние, языкове́дение — наука, изучающая языки.;1
t_12;Как дисциплина, имеющая ряд принципиальных черт гуманитарных наук, лингвистика не всегда отделяет субъект познания (то есть психику лингвиста) от объекта познания (то есть от изучаемого языка), особенно если лингвист изучает свой родной язык.;1
t_13;Лингвистами часто становятся люди, совмещающие тонкую языковую интуицию (чутьё языка) с обострённой языковой рефлексией (способностью задумываться над своим языковым чутьём).;1
t_15;"Лингвистика в широком смысле слова (познание языка и передача результатов этого познания другим людям) подразделяется:  теоретическая лингвистика: научная, предполагающая построение лингвистических теорий; прикладная лингвистика: специализируется на решении практических задач, связанных с изучением языка, а также на практическом использовании лингвистической теории в других областях; практическая лингвистика: представляет собой ту сферу, где реально проводятся лингвистические эксперименты, имеющие целью верификацию положений теоретической лингвистики и проверку эффективности продуктов, создаваемых прикладной лингвистикой; эмпирическая лингвистика, получающая материал посредством экспериментального анализа текстов и речевых конструкций.";1
t_17;Она бывает:  нормативной: указывающей, как «надо» говорить и писать (прескриптивная, предписательная).;1
t_18;Поэтому выделяют:  общую лингвистику: изучает общие (статистически преобладающие) черты всех языков как эмпирически (индуктивно), так и дедуктивно, исследуя общие тенденции функционирования языка, разрабатывая методы его анализа и давая определение лингвистических понятий.;1
t_20;"Она выявляет и формулирует языковые универсалии, то есть гипотезы, выполняющиеся для большинства описанных языков мира; частную лингвистику: изучает отдельный язык, группу родственных языков или пару контактирующих языков.";1
t_25;Одно из традиционных направлений прикладной лингвистики — участие в языковой политике государства.;1
t_40;"Внешняя лингвистика (социальная лингвистика, социолингвистика) описывает: язык во всем многообразии его социальных вариантов и их функций; зависимость выбора «кода» (то есть языковой системы) от общественной принадлежности носителя (классовый и профессиональный выбор)";1
t_47;Лингвистика речи включает лингвистику говорящего (изучающую активный аспект речи — деятельность отправителя сообщений, то есть кодирование — говорение, письмо, сочинение текстов) и лингвистику слушающего (изучающую пассивный аспект речи — деятельность получателя сообщений, то есть декодирование — слушание, чтение, понимание текстов).;1
t_52;Внутри грамматики принято выделять такие разделы, как морфология (наука о грамматических свойствах слова) и синтаксис (наука о грамматических свойствах предложения и словосочетания). Соответствующие дисциплины отличаются друг от друга ориентацией на изучение единиц разных уровней языка:  Предметом фонетики принято считать такие единицы, как звуки речи, их признаки и классы, фонемы и отношения между ними, а также явления просодики — структуру слога, структуру речевого такта и роль ударения в нём, правила интонации, то есть звукового оформления словосочетаний и предложений. Аналогичным образом графика изучает свойства элементарных единиц письменной речи — графем, букв, иероглифов. Единицами морфологии принято считать морфему и слово в их взаимоотношениях (правила построения номинативных единиц (словоформ) из простейших сигнификативных единиц (морфем) и, наоборот, членения словоформ на морфемы). Единицами синтаксиса принято считать структуру таких конструируемых единиц языка, как свободное словосочетание (докоммуникативная конструируемая единица) и свободное предложение (коммуникативная конструируемая единица), а в последнее время — также ССЦ (сложное синтаксическое целое) и, наконец, связный текст.;1
t_53;Единицами прагматики являются человеческие высказывания — конкретные речевые акты, производимые определёнными участниками общения в определённой обстановке, соотносимые с определённой реальностью, ориентированные на достижение определённых целей (в частности, на сообщение), а также общие универсальные правила создания и интерпретации высказываний.;1
t_95;"Язык, изучаемый лингвистом, — это язык-объект; а язык, на котором формулируется теория (описание языка, напр., грамматика или словарь в соответствующих значениях) — это метаязык.";1
t_97;"На метаязыке создаются метатексты (то есть тексты о языке); это грамматики, словари, лингвистические атласы, карты географического распространения языков, учебники языков, разговорники и т. п.     В древности наука о языке («грамматика») изучала лишь родной язык учёного, но не чужие языки; только престижные языки духовной культуры, а живой разговорный язык народа (и уж тем более неграмотных бесписьменных народностей) не изучался.";1
t_99;Ка́лька (от фр. calque «копия»), или кальки́рование, в лингвистике — заимствование иноязычных слов, выражений, фраз буквальным переводом соответствующей языковой единицы, а также результат этих заимствований: слова, выражения и фразы.;1
t_100;Словообразовательные кальки — это слова, полученные поморфемным переводом иностранного слова с одного языка на другой.;1
t_107;Так, например, русское слово насекомое — калька с латинского insectum (in «на» + sectum «секомое»).;1
t_120;Полукалькой называется частичное калькирование составных слов.;1
t_122;Семантические кальки — это слова, которые получили новые, переносные значения под влиянием иностранного слова.;1
t_146;Учёные, занимающиеся семантикой, до сих пор обычно называются семасиологами.;1
t_149;"Таковы споры о происхождении значений слов и их отношении к бытию и мышлению, которые велись аналогистами и аномалистами в древности и номиналистами, реалистами, концептуалистами в Средние века; таково учение о суппозициях, то есть об изменениях значения слова в зависимости от контекста и конкретной ситуации, развиваемое средневековой схоластикой; таковы проблемы адекватности языкового выражения мышления и происхождения противоречий между ними, проблемы развития мышления и языка, выдвигаемые философией XVII—XVIII веков.";1
t_161;Только одна сторона значения слова подвергается более детальному обсуждению в лингвистике XIX — начала XX веков — это так называемое этимологическое его значение, то есть значение, вскрываемое в слове его этимологическим анализом, установлением связи его с другими словами того же или ближайших к нему языков.;1
t_162;"Проблема соотношения этого этимологического значения или, короче, этимона ко всему содержанию слова обсуждается в языковедении XIX века, начиная с Гумбольдта; предложенное Гумбольдтом определение этого соотношения как внутренней формы слова, выражающей данное в соответствующем языке воззрение на предмет, интерпретировалась психологистами как выражение в языке образного представления предмета (Штейнталь) или доминирующего признака представления (Вундт), а их противниками — как не связанная с содержанием слова структурность его формы (Марти).";1
t_163;Курва (польск. kurwa) — наиболее часто используемый польский вульгаризм.;1
t_256;Когнитивная лингвистика — направление в языкознании, которое исследует проблемы соотношения языка и сознания, роль языка в концептуализации и категоризации мира, в познавательных процессах и обобщении человеческого опыта, связь отдельных когнитивных способностей человека с языком и формы их взаимодействия.;1
t_257;Под категоризацией понимается процесс упорядочения полученных знаний, то есть распределения нового знания по тем или иным рубрикам, существующим в сознании человека, и часто задаваемых категориями языка, носителем которого этот человек является.;1
t_258;Концептуализация — это процесс определения набора когнитивных признаков (в том числе — и категориальных) какого-либо явления реального или воображаемого мира, которые позволяют человеку иметь, хранить в сознании и пополнять новой информацией сколько-нибудь очерченное понятие и представление об этом явлении и отличать его от других феноменов.;1
t_259;Вообще когнитивизм есть совокупность наук, объединяющая исследования общих принципов, управляющих мыслительными процессами.;1
t_260;"Именно в языке фиксируется опыт человечества, его мышление; язык — познавательный механизм, система знаков, специфически кодифицирующая и трансформирующая информацию.";1
t_285;Морфоло́гия (от др.-греч. μορφή — «форма» и λόγος  — «слово, учение») — раздел грамматики, основными объектами которого являются слова естественных языков, их значимые части и морфологические признаки.;1
t_292;Наряду с обозначением некоторой области лингвистики, термин «морфология» может обозначать и часть системы языка (или «уровень» языка) — а именно, ту, в которой содержатся правила построения и понимания слов данного языка.;1
t_294;Морфология как раздел лингвистики является в этом смысле обобщением всех частных морфологий конкретных языков, то есть совокупностью сведений о всех возможных типах морфологических правил.;1
t_310;Слово — синтаксически самостоятельный комплекс морфем, связанных, определяемой языком, жёсткой структурой.;1
t_333;Морфология — раздел грамматики, изучающий грамматические свойства слов.;1
t_336;Расширенное понятие: морфология — наука о формах.;1
t_337;Грамматическое значение — обобщённое, отвлечённое языковое значение, присущее ряду слов, словоформ и синтаксических конструкций, находящее в языке своё регулярное (стандартное) выражение, например, значение падежа имён существительных, времени глагола и т. п. Грамматическое значение противопоставлено лексическому значению, которое лишено регулярного (стандартного) выражения и не обязательно имеет абстрагированный характер.;1
t_343;Аффиксы — это служебные морфемы.;1
t_347;Под супплетивизмом понимается выражение грамматического значения словом с другой основой: иду — шёл, человек — люди.;1
t_350;Грамматический способ редупликации (повтора) заключается в полном или частичном повторении частей слова для выражения грамматического значения: Такой способ словообразования как редупликация (удвоение корня или основы слова) в русском языке не встречается, однако, широко распространён в австронезийских языках.;1
t_352;"Грамматический способ — чередование (внутренняя флексия) представляет собой использование изменения звукового состава корня для выражения грамматического значения: избегать — избежать; собирать - собрать.";1
t_353;Грамматическая форма — внешнее языковое выражение грамматического значения в каждом конкретном случае употребления слова.;1
t_355;Грамматическая категория — система противопоставленных друг другу рядов грамматических форм с однородными значениями.;1
t_871;Язы́к — сложная знаковая система, естественно или искусственно созданная и соотносящая понятийное содержание и типовое звучание (написание).;1
t_993;Компью́терная лингви́стика (также: математи́ческая или вычисли́тельная лингви́стика, англ. computational linguistics) — научное направление в области математического и компьютерного моделирования интеллектуальных процессов у человека и животных при создании систем искусственного интеллекта, которое ставит своей целью использование математических моделей для описания естественных языков.;1
t_1040;Приста́вка, пре́фикс (лат. praefixus) — значимая часть слова, стоящая перед его корнем и дополняющая или изменяющая смысл слова.;1
t_1050;Прикладна́я лингви́стика (прикладное языкознание) — наряду с теоретической лингвистикой является частью науки, занимающейся языком.;1
t_1055;"Основные направления прикладной лингвистики, связанные с изучением языка:  лексикография — теория и практика составления словарей; лингводидактика — наука о разработках методик обучения иностранному языку; усвоение второго языка — наука о процессе усвоения языка (в отличие от лингводидактики — с точки зрения обучаемого); терминоведение — наука об упорядочении и стандартизации научно-технической терминологии; переводоведение — теория перевода.";1
t_1071;Мода́льность (от ср.лат. modalis — модальный, лат. modus — мера, способ) — семантическая категория, выражающая отношение говорящего к содержанию его высказывания, целевую установку речи, отношение содержания высказывания к действительности.;1
t_1076;Разрабатывая теорию высказывания, швейцарский лингвист Шарль Балли отметил, что в высказывании можно выделить два элемента: основное содержание (диктум) и индивидуальную оценку излагаемых фактов (модус).;1
t_1083;Модальность недействительности подразделяется на следующие семантические виды: модальность необходимости и долженствования (дебитивная модальность) модальность возможности и невозможности (потенциальная модальность) предположительная (гипотетическая) модальность побудительная (императивная) модальность модальность намерения (интенциональная модальность) желательная (оптативная) модальностьперсонализация — отношение действия, признака к субъекту ситуации, которым может быть говорящий (1-е лицо), адресат (2-е лицо) и не участвующий в акте коммуникации (3-е лицо).;1
t_1084;временная локализация — фиксация события на временной оси или отсутствие такой фиксации.;1
t_1087;пространственная локализация — фиксация события в пространстве общения или за его пределами, которая выражается в оппозициях здесь—там, сюда—туда, отсюда—оттуда, вверху-внизу, внутри-снаружи, далеко-близко….;1
t_1089;К квалификативным категориям относятся:  авторизация — это квалификация информации с точки зрения источников её сообщения.;1
t_1091;персуазивность — (от лат. persuasio — уговаривание, мнение) — это квалификация информации с точки зрения степени её достоверности, проявляется в оппозиции «достоверно/недостоверно».;1
t_1094;Социальные категории модуса — выражение отношения говорящего к собеседнику: почтительное — фамильярное, официальное — дружеское.;1
t_1104;Лингви́ст (языкове́д) — учёный, специалист по лингвистике (языкознанию, языковедению).;1
t_1113;Филоло́гия (от др.-греч. φιλολογία, «любовь к слову») — совокупность наук (языкознания, текстологии, литературоведения, источниковедения, палеографии и др.), изучающих культуру народа, выраженную в языке и литературном творчестве.;1
t_1116;"В словаре Даля «филология» — (греч. любословие) наука или изучение древних, мёртвых языков; изучение живых языков — лингвистика.";1
t_1126;История лингвистики (история языкознания, история лингвистических учений) — наука о становлении и развитии лингвистики как науки, концепций, теорий и практической лингвистической деятельности, о лингвистических традициях.;1
t_1156;Синта́гма (др.-греч. σύνταγμα, букв. «сопорядок», от σύν «с» и τάγμα «порядок») — совокупность нескольких слов, объединённых по принципу семантико-грамматически-фонетической сочетаемости, единица синтагматики.;1
t_1162;В данном случае, синтагма — фонетическое единство, выражающее единое смысловое целое в процессе речи-мысли и могущее состоять как из одной ритмической группы, так и из целого ряда их.;1
t_1163;Зало́г — глагольная категория, которая выражает отношение действия к субъекту (производителю действия) и объекту действия (предмету, над которым действие производится) с основными именными частями предложения — подлежащим и прямым дополнением (т. н. диатезу).;1
t_1168;Действительный залог — прямой залог в номинативных языках.;1
t_1173;Пассив является самым важным косвенным залогом номинативных языков (русский, английский, латинский, древнегреческий и многие другие).;1
t_1174;Рефлексив (возвратный залог) — отображает тождество между объектом и субъектом (аналог в русском: «Он одевается»).;1
t_1175;Реципрок (взаимный залог) — отображает симметричное отношение между участниками сложного процесса.;1
t_1177;Медий (средний залог) — обозначает действие, сосредоточенное на субъекте, в то время как объект этого действия не важен.;1
t_1180;Антипассив — важнейший косвенный залог в эргативных языках, являющийся «зеркальным» аналогом пассива.;1
t_1183;Эргативный (эргативная конструкция) — прямой залог в эргативных языках, являющийся зеркальным аналогом актива.;1
t_1184;Социатив (или кооператив, или совместный залог) — выражает отношение кооперации между субъектами, совершающими какое-то действие (в русском: «Они сотрудничают»).;1
t_1186;Имперсонал (или безличный залог) — показывает, что позиция подлежащего не занята.;1
t_1188;Каузатив (причинительный, понудительный залог) — указывает на то, что действие, инициируемое субъектом, фактически совершается другим (побочным) участником.;1
t_1195;Структу́рная лингви́стика — совокупность представлений о языке и методов его исследования, языковедческая дисциплина.;1
t_1211;Кроме того, учёный разработал базовые положения семиотики — науки о знаках, частью которой должна была стать и лингвистика как наука о языковых знаках.;1
t_1240;Си́нтаксис (др.-греч. σύν-ταξις «составление», «координация», «порядок») — раздел лингвистики, в котором изучаются номинативные и коммуникативные языковые единицы: предложение и словосочетание.;1
t_1242;Синтаксис в буквальном переводе означает не только составление, но и упорядочивание, координирование, соединение слов в связный текст.;1
t_1244;В лингвистике синтаксис — это совокупность правил, теоретических систем и языковых процессов, упорядочивающих и изучающих структуру предложений в каком-либо языке.;1
t_1316;"Рефере́нт (от лат. referens «относящий, сопоставляющий») — объект внеязыковой действительности, подразумеваемый автором конкретного речевого отрезка; предмет референции.";1
t_1321;Таким образом, референция — это соотнесение знака с объектами внеязыковой действительности в процессе коммуникации.;1
t_1323;При широком толковании каждое слово высказывания имеет свой референт, а в узком смысле, референция — лишь соотнесённость слова с частью объектов, принадлежащих обозначаемому словом классу, которые говорящие выделяют в своём сознании.;1
t_1326;Ассимиля́ция в лингвистике — главным образом фонологический термин, обозначающий уподобление одного звука другому.;1
t_1339;Иногда как тип ассимиляции рассматриваются процессы вроде интервокальной лениции, то есть ослабления артикуляции согласного между гласными.;1
t_1340;Сравнительно-историческое языкознание (также лингвисти́ческая компаративи́стика) — область лингвистики, посвящённая, прежде всего, родству языков, которое понимается историко-генетически (как факт происхождения от общего праязыка).;1
t_1367;Паради́гма (от греч. παράδειγμα, «пример, модель, образец») — совокупность (или класс) языковых единиц в лингвистике, связанных парадигматическими отношениями (объединённых по одному общему признаку и противопоставленных — по другому), а также упорядоченная схема или модель, определяющая такие языковые единицы.;1
t_1369;В узком смысле (в словоизменении) — «морфологическая парадигма» — список словоформ, принадлежащих одной лексеме и имеющих разные грамматические значения.;1
t_1372;Морфологическая парадигма — система словоформ, отражающая реализацию грамматических категорий.;1
t_1380;Лексическая парадигма — объединение слов, противопоставленных по общему семантическому признаку (антонимы, омонимы, паронимы, синонимы, группы, семантические поля и т. д.);1
t_1382;Словообразовательная парадигма — совокупность производных слов (дериватов) от одной словообразовательной основы, например, в башкирском языке: тот- — тоташ «слитный», тотҡа, тотҡос «рукоятка», тотҡон «невольник», тотҡолау «держать время от времени», тотош «полностью» и т. п.;1
t_1384;"Построение парадигм — одно из первых лингвистических достижений человечества; вавилонские глиняные таблички с перечнями парадигм обычно считаются первым памятником лингвистики как науки.";1
t_1393;Наклоне́ние — грамматическая категория глагола, выражающая его     модальность (действительность, желательность, долженствование).;1
t_1394;Соответственно различают следующие наклонения:  Индикатив (изъявительное наклонение) — «я пишу» («писал», «написал», «напишу», «буду писать»).;1
t_1395;Субъюнктив (сослагательное или условное наклонение, кондиционалис, конъюнктив) — «я бы написал».;1
t_1396;Оптатив (желательное наклонение, модальное среднее между субъюнктивом и императивом) — «Напишу-ка».;1
t_1397;Императив (повелительное наклонение) — «пиши!».;1
t_1398;Юссив (позволительное наклонение): «пусть пишет!».;1
t_1399;Гортатив (предлагательное наклонение): «давайте напишем!».;1
t_1400;Инъюнктив (намерительное наклонение: выражение собственного намерения, совпадающее в русском языке с совершенным будущим временем): «напишу».;1
t_1401;Прохибитив (отрицательно-просительное наклонение) — выражает просьбу говорящего о том, чтобы действие не было осуществлено — «не покупай!» (несов. вид, в противоположность «купи!» — сов. вид.);1
t_1403;Синтаксическая парадигма — ряд структурно различающихся конструкций, отражающих видоизменения синтаксических значений.;1
t_1404;Ирреалис — форма ирреального наклонения в сложных предложениях во многих индейских и тихоокеанских языках.;1
t_1407;Парафразив (пересказательное наклонение) — наклонение в латышском и болгарском языках, используется для передачи чужих слов.Представляет собой грамматическое соответствие семантической категории модальности (реальность, гипотеза, ирреальность, желание, побуждение и т. д.), однако в ряде языков наклонение может утрачивать модальную семантику и диктоваться только синтаксисом (как в латинском и французском языках конъюнктив в некоторых типах предложений).;1
