;sent_index;sent_text;def
0;0;Лингви́стика (от лат. lingua «язык»), языкозна́ние, языкове́дение — наука, изучающая языки.;1
1;12;Как дисциплина, имеющая ряд принципиальных черт гуманитарных наук, лингвистика не всегда отделяет субъект познания (то есть психику лингвиста) от объекта познания (то есть от изучаемого языка), особенно если лингвист изучает свой родной язык.;1
2;13;Лингвистами часто становятся люди, совмещающие тонкую языковую интуицию (чутьё языка) с обострённой языковой рефлексией (способностью задумываться над своим языковым чутьём).;1
3;15;"Лингвистика в широком смысле слова (познание языка и передача результатов этого познания другим людям) подразделяется:  теоретическая лингвистика: научная, предполагающая построение лингвистических теорий; прикладная лингвистика: специализируется на решении практических задач, связанных с изучением языка, а также на практическом использовании лингвистической теории в других областях; практическая лингвистика: представляет собой ту сферу, где реально проводятся лингвистические эксперименты, имеющие целью верификацию положений теоретической лингвистики и проверку эффективности продуктов, создаваемых прикладной лингвистикой; эмпирическая лингвистика, получающая материал посредством экспериментального анализа текстов и речевых конструкций.";1
4;17;Она бывает:  нормативной: указывающей, как «надо» говорить и писать (прескриптивная, предписательная).;0
5;18;Поэтому выделяют:  общую лингвистику: изучает общие (статистически преобладающие) черты всех языков как эмпирически (индуктивно), так и дедуктивно, исследуя общие тенденции функционирования языка, разрабатывая методы его анализа и давая определение лингвистических понятий.;1
6;20;"Она выявляет и формулирует языковые универсалии, то есть гипотезы, выполняющиеся для большинства описанных языков мира; частную лингвистику: изучает отдельный язык, группу родственных языков или пару контактирующих языков.";1
7;25;Одно из традиционных направлений прикладной лингвистики — участие в языковой политике государства.;1
8;40;"Внешняя лингвистика (социальная лингвистика, социолингвистика) описывает: язык во всем многообразии его социальных вариантов и их функций; зависимость выбора «кода» (то есть языковой системы) от общественной принадлежности носителя (классовый и профессиональный выбор)";1
9;47;Лингвистика речи включает лингвистику говорящего (изучающую активный аспект речи — деятельность отправителя сообщений, то есть кодирование — говорение, письмо, сочинение текстов) и лингвистику слушающего (изучающую пассивный аспект речи — деятельность получателя сообщений, то есть декодирование — слушание, чтение, понимание текстов).;1
10;52;Внутри грамматики принято выделять такие разделы, как морфология (наука о грамматических свойствах слова) и синтаксис (наука о грамматических свойствах предложения и словосочетания).;1
11;h_1;Соответствующие дисциплины отличаются друг от друга ориентацией на изучение единиц разных уровней языка:  Предметом фонетики принято считать такие единицы, как звуки речи, их признаки и классы, фонемы и отношения между ними, а также явления просодики — структуру слога, структуру речевого такта и роль ударения в нём, правила интонации, то есть звукового оформления словосочетаний и предложений.;1
12;h_2;Аналогичным образом графика изучает свойства элементарных единиц письменной речи — графем, букв, иероглифов. Единицами морфологии принято считать морфему и слово в их взаимоотношениях (правила построения номинативных единиц (словоформ) из простейших сигнификативных единиц (морфем) и, наоборот, членения словоформ на морфемы).;1
13;h_3;Единицами синтаксиса принято считать структуру таких конструируемых единиц языка, как свободное словосочетание (докоммуникативная конструируемая единица) и свободное предложение (коммуникативная конструируемая единица), а в последнее время — также ССЦ (сложное синтаксическое целое) и, наконец, связный текст.;1
14;53;Единицами прагматики являются человеческие высказывания — конкретные речевые акты, производимые определёнными участниками общения в определённой обстановке, соотносимые с определённой реальностью, ориентированные на достижение определённых целей (в частности, на сообщение), а также общие универсальные правила создания и интерпретации высказываний.;1
15;95;"Язык, изучаемый лингвистом, — это язык-объект; а язык, на котором формулируется теория (описание языка, напр., грамматика или словарь в соответствующих значениях) — это метаязык.";1
16;97;"На метаязыке создаются метатексты (то есть тексты о языке); это грамматики, словари, лингвистические атласы, карты географического распространения языков, учебники языков, разговорники и т. п.;1
h_4;В древности наука о языке («грамматика») изучала лишь родной язык учёного, но не чужие языки; только престижные языки духовной культуры, а живой разговорный язык народа (и уж тем более неграмотных бесписьменных народностей) не изучался.";1
17;99;Ка́лька (от фр. calque «копия»), или кальки́рование, в лингвистике — заимствование иноязычных слов, выражений, фраз буквальным переводом соответствующей языковой единицы, а также результат этих заимствований: слова, выражения и фразы.;1
18;100;Словообразовательные кальки — это слова, полученные поморфемным переводом иностранного слова с одного языка на другой.;1
19;107;Так, например, русское слово насекомое — калька с латинского insectum (in «на» + sectum «секомое»).;0
20;120;Полукалькой называется частичное калькирование составных слов.;1
